Assembly Accession	Organism Name	Organism Taxonomic ID
GCA_029042245.1	Aythya marila	189534
GCA_964235425.1	Azelia nebulosa	1643962
GCA_963576725.1	Azorinus chamasolen	2922058
GCA_041734735.1	Babylonia areolata	304850
GCA_028533215.1	Babyrousa celebensis	1303000
GCA_951217065.1	Baccha elongata	226178
GCF_032445375.1	Bacillus rossius redtenbacheri	93214
GCA_024516035.1	Bactericera cockerelli	290155
GCA_027475135.1	Bactrocera correcta	47773
GCF_023373825.1	Bactrocera dorsalis	27457
GCF_024586455.1	Bactrocera neohumeralis	98809
GCF_016617805.1	Bactrocera tryoni	59916
GCF_949987535.1	Balaenoptera acutorostrata	9767
GCF_009873245.2	Balaenoptera musculus	9771
GCF_028023285.1	Balaenoptera ricei	2746895
GCA_959613365.1	Balanococcus diminutus	249498
GCA_037178815.1	Barbatula barbatula	135647
GCA_936440315.1	Barbus barbus	40830
GCA_963991005.1	Barypeithes pellucidus	397350
GCA_040869075.1	Baryscapus dioryctriae	2980436
GCA_963680875.1	Bathymodiolus brooksi	206348
GCA_963383655.1	Bathymodiolus septemdierum	220392
GCA_019155185.1	Beaufortia kweichowensis	241442
GCA_963576735.1	Bedellia somnulentella	753282
GCA_950370525.1	Bellardia bayeri	2881606
GCA_916048285.2	Bellardia pandia	2795671
GCF_010883055.1	Belonocnema kinseyi	2817044
GCA_910589475.2	Bembecia ichneumoniformis	301037
GCA_039105355.1	Benthosema pterotum	1069390
GCA_034508935.3	Berghia stephanieae	1287507
GCA_949128065.1	Beris chalybata	2719050
GCA_951812415.1	Beris morrisii	931494
GCF_900634795.4	Betta splendens	158456
GCA_910594885.2	Bibio marci	189979
GCF_947172395.1	Bicyclus anynana	110368
GCA_959347315.1	Bimastos eiseni	320977
GCA_964330305.1	Bimastos rubidus	2866284
GCF_947242115.1	Biomphalaria glabrata	6526
GCA_905404145.2	Biston betularia	82595
GCA_950106695.1	Biston stratarius	722658
GCA_042257705.1	Blaps rhynchoptera	1379410
GCA_907269095.1	Blastobasis adustella	1869501
GCA_905147135.1	Blastobasis lacticolella	2561016
GCA_947652115.1	Blastomussa wellsi	419443
GCA_963422515.1	Blennius ocellaris	195075
GCA_946965025.1	Blera fallax	226147
GCA_029204025.1	Blomia tropicalis	40697
GCF_026151205.1	Bolinopsis microptera	2820187
GCA_964270775.1	Boloria aquilonaris	405021
GCA_964332085.1	Boloria caucasica	995051
GCA_964264805.1	Boloria dia	596532
GCA_951802675.2	Boloria euphrosyne	405023
GCA_964273495.1	Boloria freija	596533
GCA_964273715.1	Boloria frigga	596534
GCA_964275235.1	Boloria pales	405024
GCA_905231865.2	Boloria selene	191398
GCA_964338675.1	Boloria thore	977896
GCA_964270595.1	Boloria titania	596536
GCA_964258925.1	Bolosoma cyanae	3014158
GCF_027579735.1	Bombina bombina	8345
GCA_964205295.1	Bombina variegata	8348
GCF_024516045.1	Bombus affinis	309941
GCA_014825925.1	Bombus breviceps	395515
GCA_905333015.3	Bombus campestris	207624
GCA_037178635.1	Bombus dahlbomii	85658
GCA_041682495.1	Bombus fervidus	203811
GCA_014825975.1	Bombus haemorrhoidalis	207636
GCA_905332935.1	Bombus hortorum	85660
GCF_024542735.1	Bombus huntii	85661
GCA_911387925.2	Bombus hypnorum	30191
GCA_014825875.1	Bombus ignitus	130704
GCA_964197665.1	Bombus jonellus	85663
GCA_964186655.1	Bombus lapidarius	30192
GCA_963971185.1	Bombus muscorum	203813
GCA_034509555.1	Bombus opulentus	2024865
GCF_905332965.1	Bombus pascuorum	65598
GCA_930367275.1	Bombus pratorum	30194
GCF_014825855.1	Bombus pyrosoma	396416
GCA_040285845.1	Bombus rufofasciatus	309971
GCA_911622165.2	Bombus sylvestris	30201
GCF_910591885.1	Bombus terrestris	30195
GCA_014825825.1	Bombus turneri	686820
GCA_963556215.1	Bombus vestalis	30202
GCA_939192795.1	Bombylius discolor	2741128
GCA_932526495.1	Bombylius major	240869
GCF_030269925.1	Bombyx mori	7091
GCA_964260565.1	Boreogadus saida	44932
GCA_949987555.1	Borostomias antarcticus	473354
GCA_043643345.1	Bos frontalis	30520
GCA_014182915.2	Bos gaurus	9904
GCA_946052875.1	Bos gaurus x Bos taurus	1705790
GCA_005887515.3	Bos grunniens	30521
GCA_009493645.1	Bos grunniens x Bos taurus	331036
GCF_000247795.1	Bos indicus	9915
GCF_003369695.1	Bos indicus x Bos taurus	30522
GCF_032452875.1	Bos javanicus	9906
GCF_002263795.3	Bos taurus	9913
GCA_018282465.1	Bos taurus x Bison bison	297284
GCA_020698575.1	Bostrychus sinensis	86224
GCF_040956055.1	Brachionichthys hirsutus	412623
GCA_040956055.2	Brachionichthys hirsutus	412623
GCA_937001585.2	Brachylomia viminalis	988081
GCA_030435695.1	Brachymystax lenok tsinlingensis	1115630
GCA_949775065.1	Brachyopa scutellaris	2849643
GCA_945910035.1	Brachypalpus laphriformis	2234001
GCA_907164805.1	Brachyptera putata	2065413
GCA_964007535.1	Brachyptera risi	446425
GCA_958510825.1	Brachypterus glaber	442081
GCF_014529535.1	Bradysia coprophila	38358
GCA_014529535.2	Bradysia coprophila	38358
GCA_947562095.1	Branchellion lobata	375517
GCF_000003815.2	Branchiostoma floridae	7739
